Position(m)	Shear_Force(N)
133.9	30807.2
134	30669.4
134.1	30531.5
134.2	30393.7
134.3	30255.9
134.4	30118
134.5	29980.2
134.6	29842.4
134.7	29704.5
134.8	29566.7
134.9	29428.9
135	29291.1
135.1	29153.2
135.2	29015.4
135.3	28877.6
135.4	28739.7
135.5	28601.9
135.6	28464.1
135.7	28326.2
135.8	28188.4
135.9	28050.6
136	27912.7
136.1	27774.9
136.2	27637.1
136.3	27499.2
136.4	27361.4
136.5	27223.6
136.6	27085.7
136.7	26947.9
136.8	26810.1
136.9	26672.2
137	26534.4
137.1	26396.6
137.2	26258.7
137.3	26120.9
137.4	25983.1
137.5	25845.2
137.6	25707.4
137.7	25569.6
137.8	25431.7
137.9	25293.9
138	25156.1
138.1	25018.3
138.2	24880.4
138.3	24742.6
138.4	24604.8
138.5	24467
138.6	24329.1
138.7	24191.3
138.8	24053.5
138.9	23915.6
139	23777.8
139.1	23640
139.2	23502.1
139.3	23364.3
139.4	23226.5
139.5	23088.7
139.6	22950.8
139.7	22813
139.8	22675.2
139.9	22537.3
140	22399.5
140.1	22261.7
140.2	22123.8
140.3	21986
140.4	21848.2
140.5	21710.3
140.6	21572.5
140.7	21434.7
140.8	21296.9
140.9	21159
141	21021.2
141.1	20883.4
141.2	20745.5
141.3	20607.7
141.4	20469.9
141.5	20332
141.6	20194.2
141.7	20056.4
141.8	19918.5
141.9	19780.7
142	19642.9
142.1	19505
142.2	19367.2
142.3	19229.4
142.4	19091.6
142.5	18953.8
142.6	18815.9
142.7	18678.1
142.8	18540.3
142.9	18402.4
143	18264.6
143.1	18126.8
143.2	17989
143.3	17851.1
143.4	17713.3
143.5	17575.5
143.6	17437.6
143.7	17299.8
143.8	17162
143.9	17024.1
144	16886.3
144.1	16748.5
144.2	16610.6
144.3	16472.8
144.4	16335
144.5	16197.1
144.6	16059.3
144.7	15921.5
144.8	15783.7
144.9	15645.8
145	15508
145.1	15370.2
145.2	15232.3
145.3	15094.5
145.4	14956.7
145.5	14818.9
145.6	14681
145.7	14543.2
145.8	14405.3
145.9	14267.5
146	14129.7
146.1	13991.8
146.2	13854
146.3	13716.2
146.4	13578.4
146.5	13440.6
146.6	13302.7
146.7	13164.9
146.8	13027.1
146.9	12893.4
147	12763.8
147.1	12634.2
147.2	12504.6
147.3	12375.1
147.4	12245.4
147.5	12115.9
147.6	11986.3
147.7	11856.7
147.8	11727.1
147.9	11597.5
148	11467.9
148.1	11338.3
148.2	11208.7
148.3	11079.2
148.4	10949.6
148.5	10820.1
148.6	10690.4
148.7	10560.9
148.8	10431.3
148.9	10301.7
149	10172.2
149.1	10042.6
149.2	9913.02
149.3	9783.42
149.4	9653.82
149.5	9524.29
149.6	9394.7
149.7	9265.1
149.8	9135.52
149.9	9005.93
150	8876.41
150.1	8746.83
150.2	8617.2
150.3	8487.63
150.4	8358.01
150.5	8228.42
150.6	8098.87
150.7	7969.31
150.8	7839.69
150.9	7710.1
151	7580.49
151.1	7450.97
151.2	7321.37
151.3	7191.8
151.4	7062.25
151.5	6932.66
151.6	6803.03
151.7	6673.48
151.8	6543.87
151.9	6414.26
152	6284.66
152.1	6155.1
152.2	6025.48
152.3	5895.95
152.4	5766.37
152.5	5636.72
152.6	5507.18
152.7	5377.61
152.8	5247.99
152.9	5118.4
153	4988.78
153.1	4859.28
153.2	4729.65
153.3	4600.11
153.4	4470.53
153.5	4340.9
153.6	4211.37
153.7	4081.75
153.8	3952.12
153.9	3822.59
154	3693
154.1	3563.41
154.2	3433.85
154.3	3304.27
154.4	3174.69
154.5	3045.14
154.6	2915.5
154.7	2785.87
154.8	2656.35
154.9	2526.78
155	2397.19
155.1	2267.62
155.2	2137.96
155.3	2008.4
155.4	1878.82
155.5	1749.26
155.6	1619.67
155.7	1490.08
155.8	1360.48
155.9	1230.96
156	1101.36
156.1	971.819
156.2	842.243
156.3	712.648
156.4	583.085
156.5	453.524
156.6	323.964
156.7	194.354
156.8	64.7832
156.9	64.7832
