Position(m)	Bending_Moment(Nm)
96.1	5.7064e+07
96.2	5.7196e+07
96.3	5.73277e+07
96.4	5.74589e+07
96.5	5.75896e+07
96.6	5.772e+07
96.7	5.78499e+07
96.8	5.79793e+07
96.9	5.81083e+07
97	5.82369e+07
97.1	5.83651e+07
97.2	5.84928e+07
97.3	5.86201e+07
97.4	5.8747e+07
97.5	5.88734e+07
97.6	5.89994e+07
97.7	5.9125e+07
97.8	5.92502e+07
97.9	5.93749e+07
98	5.94992e+07
98.1	5.96231e+07
98.2	5.97465e+07
98.3	5.98695e+07
98.4	5.99921e+07
98.5	6.01143e+07
98.6	6.02361e+07
98.7	6.03574e+07
98.8	6.04784e+07
98.9	6.05989e+07
99	6.07189e+07
99.1	6.08386e+07
99.2	6.09579e+07
99.3	6.10767e+07
99.4	6.11951e+07
99.5	6.13131e+07
99.6	6.14307e+07
99.7	6.15479e+07
99.8	6.16646e+07
99.9	6.1781e+07
100	6.18969e+07
100.1	6.20125e+07
100.2	6.21276e+07
100.3	6.22423e+07
100.4	6.23566e+07
100.5	6.24705e+07
100.6	6.2584e+07
100.7	6.26971e+07
100.8	6.28097e+07
100.9	6.2922e+07
101	6.30339e+07
101.1	6.31453e+07
101.2	6.32564e+07
101.3	6.33671e+07
101.4	6.34773e+07
101.5	6.35872e+07
101.6	6.36966e+07
101.7	6.38057e+07
101.8	6.39144e+07
101.9	6.40226e+07
102	6.41305e+07
102.1	6.4238e+07
102.2	6.43451e+07
102.3	6.44518e+07
102.4	6.4558e+07
102.5	6.46639e+07
102.6	6.47694e+07
102.7	6.48746e+07
102.8	6.49793e+07
102.9	6.50836e+07
103	6.51876e+07
103.1	6.52911e+07
103.2	6.53943e+07
103.3	6.54971e+07
103.4	6.55995e+07
103.5	6.57015e+07
103.6	6.58031e+07
103.7	6.59043e+07
103.8	6.60052e+07
103.9	6.61057e+07
104	6.62058e+07
104.1	6.63055e+07
104.2	6.64048e+07
104.3	6.65038e+07
104.4	6.66023e+07
104.5	6.67005e+07
104.6	6.67983e+07
104.7	6.68958e+07
104.8	6.69928e+07
104.9	6.70895e+07
105	6.71858e+07
105.1	6.72818e+07
105.2	6.73774e+07
105.3	6.74725e+07
105.4	6.75674e+07
105.5	6.76618e+07
105.6	6.77559e+07
105.7	6.78496e+07
105.8	6.79429e+07
105.9	6.80359e+07
106	6.81285e+07
106.1	6.82208e+07
106.2	6.83126e+07
106.3	6.84042e+07
106.4	6.84953e+07
106.5	6.85861e+07
106.6	6.86765e+07
106.7	6.87665e+07
106.8	6.88562e+07
106.9	6.89456e+07
107	6.90345e+07
107.1	6.91232e+07
107.2	6.92114e+07
107.3	6.92993e+07
107.4	6.93868e+07
107.5	6.9474e+07
107.6	6.95609e+07
107.7	6.96473e+07
107.8	6.97334e+07
107.9	6.98192e+07
108	6.99046e+07
108.1	6.99897e+07
108.2	7.00744e+07
108.3	7.01588e+07
108.4	7.02428e+07
108.5	7.03264e+07
108.6	7.04097e+07
108.7	7.04927e+07
108.8	7.05753e+07
108.9	7.06576e+07
109	7.07395e+07
109.1	7.08211e+07
109.2	7.09023e+07
109.3	7.09832e+07
109.4	7.10638e+07
109.5	7.1144e+07
109.6	7.12238e+07
109.7	7.13033e+07
109.8	7.13825e+07
109.9	7.14614e+07
110	7.15399e+07
110.1	7.16181e+07
110.2	7.16959e+07
110.3	7.17734e+07
110.4	7.18506e+07
110.5	7.19274e+07
110.6	7.20039e+07
110.7	7.208e+07
110.8	7.21559e+07
110.9	7.22314e+07
111	7.23065e+07
111.1	7.23814e+07
111.2	7.24559e+07
111.3	7.25301e+07
111.4	7.26039e+07
111.5	7.26774e+07
111.6	7.27506e+07
111.7	7.28235e+07
111.8	7.2896e+07
111.9	7.29683e+07
112	7.30402e+07
112.1	7.31117e+07
112.2	7.3183e+07
112.3	7.32539e+07
112.4	7.33245e+07
112.5	7.33948e+07
112.6	7.34648e+07
112.7	7.35344e+07
112.8	7.36038e+07
112.9	7.36728e+07
113	7.37415e+07
113.1	7.38099e+07
113.2	7.38779e+07
113.3	7.39457e+07
113.4	7.40131e+07
113.5	7.40803e+07
113.6	7.41471e+07
113.7	7.42136e+07
113.8	7.42798e+07
113.9	7.43457e+07
114	7.44112e+07
114.1	7.44765e+07
114.2	7.45415e+07
114.3	7.46061e+07
114.4	7.46705e+07
114.5	7.47345e+07
114.6	7.47983e+07
114.7	7.48617e+07
114.8	7.49248e+07
114.9	7.49876e+07
115	7.50502e+07
115.1	7.51124e+07
115.2	7.51743e+07
115.3	7.5236e+07
115.4	7.52973e+07
115.5	7.53583e+07
115.6	7.5419e+07
115.7	7.54795e+07
115.8	7.55396e+07
115.9	7.55995e+07
116	7.5659e+07
